,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
EMP3,7.99E-260,0.871891121,0.549,0.368,2.68E-255,0,EMP3
LBH,1.04E-255,1.678823031,0.299,0.143,3.47E-251,0,LBH
MSN,2.17E-254,1.045945329,0.509,0.345,7.29E-250,0,MSN
DDX24,3.69E-249,1.128909223,0.53,0.407,1.24E-244,0,DDX24
ETS1,1.71E-246,1.135924484,0.385,0.208,5.74E-242,0,ETS1
FNBP1,2.51E-246,1.193274088,0.459,0.306,8.42E-242,0,FNBP1
EMB,2.39E-241,1.26699328,0.461,0.318,8.02E-237,0,EMB
PDE7A,1.66E-238,1.655448132,0.316,0.165,5.56E-234,0,PDE7A
BIN2,6.58E-230,1.630122789,0.297,0.15,2.21E-225,0,BIN2
MYO1F,7.23E-229,1.382860404,0.354,0.199,2.42E-224,0,MYO1F
SMURF2,9.09E-227,1.805496294,0.29,0.148,3.05E-222,0,SMURF2
ANKRD44,5.54E-224,1.359662683,0.383,0.235,1.86E-219,0,ANKRD44
IFITM2,5.10E-223,1.141640814,0.425,0.27,1.71E-218,0,IFITM2
MGAT4A,1.18E-217,1.459218394,0.352,0.208,3.96E-213,0,MGAT4A
CALM1,4.00E-215,0.349017545,0.878,0.827,1.34E-210,0,CALM1
CYBA,1.23E-214,0.343408513,0.895,0.776,4.12E-210,0,CYBA
FUS,4.59E-214,0.846079195,0.613,0.532,1.54E-209,0,FUS
IRF1,3.31E-212,1.112623121,0.45,0.31,1.11E-207,0,IRF1
KMT2A,5.26E-212,1.2676491,0.456,0.332,1.77E-207,0,KMT2A
CLIC1,1.57E-208,0.640560046,0.718,0.643,5.28E-204,0,CLIC1
SUN2,3.88E-205,1.53888907,0.327,0.189,1.30E-200,0,SUN2
SYNRG,3.52E-200,1.470393748,0.354,0.221,1.18E-195,0,SYNRG
WIPF1,3.10E-199,1.130985065,0.419,0.279,1.04E-194,0,WIPF1
VAMP2,9.19E-199,1.290563853,0.433,0.317,3.08E-194,0,VAMP2
ARAP2,1.90E-198,1.645599988,0.302,0.17,6.38E-194,0,ARAP2
CD37,1.32E-197,0.750313771,0.467,0.304,4.43E-193,0,CD37
MT-ND1,8.11E-197,0.292323206,0.999,0.976,2.72E-192,0,MT-ND1
LEPROTL1,4.26E-196,1.14168708,0.423,0.288,1.43E-191,0,LEPROTL1
DOCK8,1.26E-195,1.167006859,0.405,0.267,4.24E-191,0,DOCK8
ADGRE5,4.27E-195,1.382124466,0.323,0.185,1.43E-190,0,ADGRE5
SLC38A1,1.02E-193,1.207367616,0.396,0.258,3.43E-189,0,SLC38A1
OSTF1,5.96E-188,1.130112253,0.458,0.348,2.00E-183,0,OSTF1
RBL2,9.09E-187,1.476879025,0.352,0.225,3.05E-182,0,RBL2
RPL23A,9.04E-186,0.290968135,0.972,0.925,3.03E-181,0,RPL23A
CYTOR,2.17E-183,1.374710443,0.307,0.172,7.27E-179,0,CYTOR
DHRS7,1.62E-174,1.330135927,0.371,0.252,5.42E-170,0,DHRS7
BUB3,1.26E-173,1.464319511,0.329,0.208,4.24E-169,0,BUB3
LCP2,6.30E-172,1.122101092,0.339,0.204,2.11E-167,0,LCP2
STOM,3.80E-168,1.429072669,0.32,0.198,1.28E-163,0,STOM
FMNL1,4.32E-167,1.176867298,0.361,0.236,1.45E-162,0,FMNL1
STK10,8.25E-167,1.569853322,0.269,0.15,2.77E-162,0,STK10
KLF13,8.68E-166,1.338454996,0.359,0.243,2.91E-161,0,KLF13
ANKRD12,1.26E-165,0.675791132,0.628,0.547,4.24E-161,0,ANKRD12
TMX4,2.01E-165,1.562988973,0.291,0.173,6.73E-161,0,TMX4
RPL21,2.25E-162,0.271293446,0.94,0.886,7.55E-158,0,RPL21
ABRACL,8.00E-160,1.046198848,0.442,0.337,2.68E-155,0,ABRACL
TXNIP,5.57E-158,0.52689663,0.734,0.644,1.87E-153,0,TXNIP
MT-ND5,2.01E-155,0.331910607,0.96,0.9,6.75E-151,0,MT-ND5
ISG20,4.65E-155,0.961169786,0.355,0.223,1.56E-150,0,ISG20
CYFIP2,4.91E-155,1.492068669,0.263,0.147,1.65E-150,0,CYFIP2
DENND2D,1.17E-154,1.390984786,0.274,0.156,3.93E-150,0,DENND2D
CDC42SE2,5.54E-152,1.135402432,0.397,0.287,1.86E-147,0,CDC42SE2
KANSL1,6.56E-151,1.109123853,0.434,0.339,2.20E-146,0,KANSL1
RPS26,1.24E-148,0.397554775,0.824,0.78,4.17E-144,0,RPS26
ABHD17A,1.44E-148,1.318651739,0.358,0.253,4.84E-144,0,ABHD17A
DDX5,3.63E-148,0.452641143,0.81,0.779,1.22E-143,0,DDX5
EIF1,1.17E-147,0.265821259,0.963,0.944,3.93E-143,0,EIF1
RABAC1,4.08E-147,1.02917659,0.455,0.366,1.37E-142,0,RABAC1
CDC42EP3,1.91E-145,1.418160099,0.274,0.161,6.42E-141,0,CDC42EP3
DOCK10,2.48E-142,1.33104914,0.296,0.184,8.32E-138,0,DOCK10
RBM39,6.99E-142,0.659281378,0.63,0.598,2.34E-137,0,RBM39
LNPEP,4.94E-141,1.229500247,0.373,0.271,1.66E-136,0,LNPEP
SLA,3.71E-134,1.12715644,0.313,0.198,1.24E-129,0,SLA
SYTL2,3.12E-132,1.184017114,0.281,0.168,1.05E-127,0,SYTL2
ARHGAP30,4.17E-132,1.235887135,0.322,0.216,1.40E-127,0,ARHGAP30
FKBP5,9.34E-132,1.315145035,0.29,0.183,3.13E-127,0,FKBP5
SEMA4D,3.79E-131,1.439882642,0.258,0.154,1.27E-126,0,SEMA4D
H1FX,9.50E-131,1.399978048,0.359,0.26,3.19E-126,0,H1FX
RPS29,3.48E-130,0.335496477,0.854,0.802,1.17E-125,0,RPS29
ITGA4,8.96E-130,1.325720837,0.261,0.154,3.00E-125,0,ITGA4
TMC6,2.75E-126,1.330915112,0.303,0.202,9.21E-122,0,TMC6
RAP1B,3.20E-124,0.783165607,0.525,0.467,1.07E-119,0,RAP1B
SRSF5,6.43E-123,0.685409441,0.59,0.559,2.16E-118,0,SRSF5
CD84,1.53E-122,1.120866229,0.28,0.171,5.12E-118,0,CD84
RHOH,3.54E-121,1.104822784,0.273,0.165,1.19E-116,0,RHOH
CCDC107,1.25E-120,1.304438129,0.293,0.194,4.19E-116,0,CCDC107
C12orf75,4.78E-117,0.544548107,0.325,0.201,1.60E-112,0,C12orf75
PREX1,5.02E-116,1.330909821,0.259,0.161,1.68E-111,0,PREX1
MBP,6.28E-116,0.994584579,0.419,0.341,2.11E-111,0,MBP
XIST,3.62E-115,0.658963654,0.599,0.527,1.21E-110,0,XIST
ARPC2,2.08E-114,0.310744317,0.77,0.686,6.99E-110,0,ARPC2
ARHGAP45,5.45E-114,1.28544767,0.269,0.172,1.83E-109,0,ARHGAP45
C9orf78,6.97E-114,1.23018374,0.33,0.239,2.34E-109,0,C9orf78
MYL12B,1.64E-111,0.382595407,0.778,0.763,5.51E-107,0,MYL12B
JAK1,8.51E-108,0.826153438,0.479,0.422,2.85E-103,0,JAK1
PSME1,7.98E-107,0.77112139,0.512,0.47,2.68E-102,0,PSME1
MYH9,1.22E-105,0.747661707,0.49,0.428,4.11E-101,0,MYH9
CXCR4,3.31E-105,0.454993948,0.442,0.316,1.11E-100,0,CXCR4
SARAF,2.93E-102,0.444436283,0.692,0.659,9.83E-98,0,SARAF
CCDC85B,5.10E-102,0.943727474,0.383,0.301,1.71E-97,0,CCDC85B
ATM,3.17E-101,0.988795675,0.381,0.3,1.06E-96,0,ATM
TGFB1,6.94E-101,1.019570338,0.352,0.265,2.33E-96,0,TGFB1
GLIPR1,1.74E-100,0.979516826,0.323,0.226,5.82E-96,0,GLIPR1
IDS,1.24E-97,0.948671034,0.408,0.337,4.15E-93,0,IDS
GYPC,7.90E-97,1.134465992,0.27,0.18,2.65E-92,0,GYPC
ARL6IP5,8.38E-97,0.54958374,0.589,0.54,2.81E-92,0,ARL6IP5
MPHOSPH8,1.85E-95,0.952107742,0.42,0.362,6.20E-91,0,MPHOSPH8
HMGB1,3.68E-94,0.342727347,0.779,0.778,1.23E-89,0,HMGB1
PPP1R18,4.74E-94,1.003366175,0.313,0.225,1.59E-89,0,PPP1R18
PNISR,1.47E-93,0.538273566,0.623,0.597,4.94E-89,0,PNISR
UBC,1.33E-92,0.324311862,0.817,0.805,4.46E-88,0,UBC
CCND3,5.05E-92,1.198719029,0.274,0.189,1.69E-87,0,CCND3
CD63,7.90E-92,0.258842632,0.758,0.668,2.65E-87,0,CD63
PAG1,3.29E-89,0.929843949,0.275,0.185,1.10E-84,0,PAG1
GSTK1,2.43E-87,0.861943948,0.437,0.388,8.16E-83,0,GSTK1
IL10RA,1.39E-84,1.117742741,0.269,0.186,4.68E-80,0,IL10RA
TAPBP,8.23E-84,0.759245849,0.467,0.425,2.76E-79,0,TAPBP
SAMD9,1.05E-83,1.100705233,0.273,0.191,3.52E-79,0,SAMD9
SAMSN1,3.77E-83,0.499010457,0.286,0.192,1.26E-78,0,SAMSN1
PIK3IP1,1.26E-82,1.040778519,0.274,0.192,4.23E-78,0,PIK3IP1
TUBA4A,6.60E-82,1.072337974,0.251,0.168,2.21E-77,0,TUBA4A
DAD1,9.03E-82,0.645353396,0.526,0.511,3.03E-77,0,DAD1
EEF1D,3.13E-81,0.3123082,0.793,0.743,1.05E-76,0,EEF1D
ANKRD13D,6.71E-78,1.216403606,0.266,0.193,2.25E-73,0,ANKRD13D
MYO9B,1.68E-77,1.220791453,0.251,0.177,5.63E-73,0,MYO9B
HNRNPA2B1,1.36E-75,0.339730849,0.789,0.79,4.56E-71,0,HNRNPA2B1
AKAP13,2.05E-75,0.693384507,0.465,0.423,6.88E-71,0,AKAP13
PPP1R15A,2.70E-75,1.050410968,0.336,0.269,9.06E-71,0,PPP1R15A
BST2,2.24E-74,0.939449458,0.34,0.274,7.50E-70,0,BST2
PRPF38B,5.69E-74,0.849811802,0.413,0.363,1.91E-69,0,PRPF38B
CCNL1,1.76E-73,0.766080136,0.451,0.407,5.89E-69,0,CCNL1
TMA7,2.94E-73,0.345342055,0.719,0.733,9.87E-69,0,TMA7
NKTR,6.10E-73,0.830416278,0.428,0.385,2.05E-68,0,NKTR
SF1,4.78E-72,0.683235369,0.501,0.483,1.60E-67,0,SF1
EPC1,6.09E-72,0.967187572,0.367,0.315,2.04E-67,0,EPC1
TTC14,6.88E-71,0.99129995,0.347,0.29,2.31E-66,0,TTC14
DIAPH1,7.62E-70,0.976971538,0.334,0.272,2.56E-65,0,DIAPH1
MACF1,6.97E-69,0.70449942,0.439,0.392,2.34E-64,0,MACF1
ORMDL1,2.06E-67,0.882115278,0.387,0.344,6.92E-63,0,ORMDL1
DRAP1,1.90E-66,0.928357895,0.333,0.275,6.39E-62,0,DRAP1
GPSM3,5.63E-66,0.802641897,0.352,0.289,1.89E-61,0,GPSM3
CNOT6L,2.87E-65,1.119984613,0.279,0.216,9.63E-61,0,CNOT6L
ARF6,4.18E-65,0.778532783,0.402,0.36,1.40E-60,0,ARF6
SYNE1,5.23E-65,0.755250465,0.251,0.173,1.75E-60,0,SYNE1
HNRNPH1,4.50E-64,0.697702434,0.496,0.48,1.51E-59,0,HNRNPH1
PIK3R1,2.24E-63,0.854090232,0.354,0.297,7.50E-59,0,PIK3R1
RSRP1,2.30E-63,0.567989662,0.541,0.53,7.72E-59,0,RSRP1
IQGAP1,1.01E-61,0.726518129,0.455,0.436,3.40E-57,0,IQGAP1
SIGIRR,3.58E-61,1.144104441,0.252,0.19,1.20E-56,0,SIGIRR
HCLS1,6.01E-61,0.715924479,0.356,0.29,2.01E-56,0,HCLS1
NCOR1,1.22E-60,0.866713177,0.383,0.348,4.10E-56,0,NCOR1
SON,3.75E-58,0.513352555,0.572,0.586,1.26E-53,0,SON
TNFAIP3,7.67E-58,0.921225548,0.265,0.199,2.57E-53,0,TNFAIP3
PPP1R12A,8.65E-58,0.956741784,0.357,0.316,2.90E-53,0,PPP1R12A
PSMA3-AS1,2.22E-57,0.957863453,0.346,0.303,7.43E-53,0,PSMA3-AS1
SMG1,4.41E-57,0.844984044,0.382,0.346,1.48E-52,0,SMG1
PRRC2C,6.30E-57,0.544180793,0.546,0.549,2.11E-52,0,PRRC2C
KMT2E,2.22E-56,0.666647799,0.466,0.451,7.43E-52,0,KMT2E
FGFR1OP2,1.38E-55,1.019516982,0.293,0.24,4.64E-51,0,FGFR1OP2
PHF20,4.60E-53,1.104139508,0.272,0.22,1.54E-48,0,PHF20
GLS,5.10E-53,0.929520258,0.293,0.238,1.71E-48,0,GLS
HMGB2,3.70E-52,0.924215767,0.264,0.206,1.24E-47,0,HMGB2
PNN,4.11E-52,0.702356109,0.436,0.414,1.38E-47,0,PNN
SMCHD1,2.29E-49,0.787879082,0.357,0.316,7.70E-45,0,SMCHD1
ANAPC16,3.09E-49,0.53578635,0.507,0.508,1.04E-44,0,ANAPC16
TERF2IP,3.70E-49,0.878478173,0.353,0.32,1.24E-44,0,TERF2IP
PNRC1,5.12E-49,0.479626155,0.53,0.52,1.72E-44,0,PNRC1
LIMD2,2.04E-46,0.655989996,0.313,0.254,6.83E-42,0,LIMD2
ARGLU1,6.74E-45,0.492111111,0.529,0.531,2.26E-40,0,ARGLU1
MTRNR2L8,1.55E-43,0.286254057,0.868,0.853,5.19E-39,0,MTRNR2L8
ZC3HAV1,2.09E-43,0.946983115,0.267,0.218,7.00E-39,0,ZC3HAV1
TPM3,4.52E-43,0.376922659,0.557,0.539,1.52E-38,0,TPM3
