,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
TSPAN62,0,2.806824633,0.844,0.086,0,11,TSPAN6
IFT1721,0,3.691838677,0.802,0.047,0,11,IFT172
CFAP2991,0,3.966296502,0.779,0.024,0,11,CFAP299
RPGR1,0,3.200231459,0.824,0.069,0,11,RPGR
AC084033.31,0,3.09226951,0.826,0.072,0,11,AC084033.3
B9D11,0,3.919572102,0.781,0.027,0,11,B9D1
DNAH2,0,5.116303314,0.765,0.014,0,11,DNAH2
DYDC21,0,3.897513293,0.773,0.025,0,11,DYDC2
FRMPD2,0,5.155868675,0.759,0.012,0,11,FRMPD2
PLEKHS12,0,2.721677238,0.848,0.101,0,11,PLEKHS1
CYSTM12,0,2.463856725,0.931,0.186,0,11,CYSTM1
TUBA4B1,0,4.45847264,0.763,0.018,0,11,TUBA4B
ARHGAP184,0,2.495836504,0.978,0.233,0,11,ARHGAP18
CABCOCO11,0,3.967711028,0.769,0.024,0,11,CABCOCO1
IFT431,0,2.887181679,0.824,0.079,0,11,IFT43
ANKRD661,0,4.526833533,0.761,0.018,0,11,ANKRD66
CASC11,0,4.198718742,0.765,0.022,0,11,CASC1
MUC42,0,2.614743903,0.838,0.096,0,11,MUC4
CLDN43,0,2.319901792,0.86,0.119,0,11,CLDN4
CD164L2,0,4.886934803,0.755,0.015,0,11,CD164L2
C7orf571,0,4.435357814,0.759,0.019,0,11,C7orf57
ABCA52,0,2.709939506,0.858,0.118,0,11,ABCA5
ARFGEF32,0,2.736929661,0.828,0.089,0,11,ARFGEF3
DZIP1L1,0,4.757076703,0.755,0.018,0,11,DZIP1L
METTL7A4,0,2.530607193,0.885,0.149,0,11,METTL7A
CCDC401,0,4.640663193,0.751,0.016,0,11,CCDC40
ERGIC33,0,2.592252514,0.895,0.16,0,11,ERGIC3
RSPH31,0,3.563917815,0.787,0.053,0,11,RSPH3
DNAL11,0,3.429963595,0.781,0.047,0,11,DNAL1
CCDC651,0,4.031138149,0.757,0.024,0,11,CCDC65
EPCAM4,0,2.023206385,0.887,0.155,0,11,EPCAM
MARCKS5,0,1.830077549,0.949,0.217,0,11,MARCKS
IQUB1,0,4.202593782,0.751,0.019,0,11,IQUB
CCDC74A1,0,4.05778143,0.755,0.024,0,11,CCDC74A
IRX32,0,3.100081754,0.802,0.073,0,11,IRX3
SPATA61,0,3.357165663,0.779,0.05,0,11,SPATA6
CCDC1901,0,4.557776221,0.747,0.018,0,11,CCDC190
IQCK1,0,3.522466876,0.767,0.038,0,11,IQCK
DHRS92,0,2.78726329,0.818,0.09,0,11,DHRS9
ATP2A24,0,2.372134884,0.943,0.218,0,11,ATP2A2
SPTBN13,0,2.29693183,0.885,0.161,0,11,SPTBN1
CLMN1,0,3.45001648,0.789,0.066,0,11,CLMN
TSPAN32,0,2.111143747,0.929,0.206,0,11,TSPAN3
ALCAM5,0,2.021499551,0.978,0.255,0,11,ALCAM
ARL31,0,2.348811769,0.87,0.147,0,11,ARL3
ZC2HC1A1,0,2.984316759,0.794,0.072,0,11,ZC2HC1A
CFAP691,0,4.440071245,0.737,0.017,0,11,CFAP69
MAP1A1,0,3.592196161,0.755,0.035,0,11,MAP1A
FXYD34,0,2.290085937,0.99,0.27,0,11,FXYD3
DCDC2B,0,4.736996035,0.733,0.014,0,11,DCDC2B
FILIP11,0,3.814532321,0.749,0.031,0,11,FILIP1
KRT84,0,1.924890734,0.899,0.181,0,11,KRT8
ABHD24,0,2.304369196,0.899,0.181,0,11,ABHD2
CLDN72,0,2.336039093,0.85,0.132,0,11,CLDN7
ENDOG2,0,2.762712018,0.81,0.093,0,11,ENDOG
DLEC1,0,5.077820598,0.731,0.014,0,11,DLEC1
CPLANE11,0,2.860011058,0.798,0.082,0,11,CPLANE1
ALDH1A14,0,2.5927849,0.998,0.282,0,11,ALDH1A1
GON71,0,2.520291985,0.822,0.106,0,11,GON7
NUDC1,0,2.440971798,0.974,0.259,0,11,NUDC
ZNF440,0,4.039035738,0.751,0.036,0,11,ZNF440
NEK111,0,4.027386292,0.741,0.027,0,11,NEK11
CCDC180,0,4.436627946,0.735,0.022,0,11,CCDC180
TMC42,0,3.560541315,0.769,0.056,0,11,TMC4
PPP1R421,0,4.049590917,0.733,0.021,0,11,PPP1R42
EXPH52,0,2.91752214,0.787,0.076,0,11,EXPH5
DNAI1,0,4.9902481,0.723,0.012,0,11,DNAI1
IK1,0,2.716096694,0.998,0.288,0,11,IK
KIF3A1,0,2.595308676,0.791,0.084,0,11,KIF3A
WRB1,0,3.351555043,0.765,0.058,0,11,WRB
CLIC62,0,2.773163105,0.785,0.079,0,11,CLIC6
H2AFJ3,0,2.14534213,0.953,0.247,0,11,H2AFJ
TOGARAM2,0,3.971224935,0.731,0.027,0,11,TOGARAM2
PDLIM41,0,3.441699893,0.753,0.05,0,11,PDLIM4
C1orf871,0,4.485307829,0.717,0.016,0,11,C1orf87
EFCAB21,0,2.961751771,0.755,0.054,0,11,EFCAB2
SOX24,0,1.822643356,0.86,0.159,0,11,SOX2
WDR631,0,4.274319623,0.717,0.018,0,11,WDR63
CEP2901,0,2.429749433,0.818,0.12,0,11,CEP290
LRRC62,0,4.298715724,0.715,0.019,0,11,LRRC6
RUVBL21,0,3.076434457,0.765,0.069,0,11,RUVBL2
AC013470.21,0,4.55975004,0.708,0.013,0,11,AC013470.2
CAPS21,0,4.306546497,0.713,0.02,0,11,CAPS2
DNPH12,0,2.215624963,0.87,0.178,0,11,DNPH1
ANKRD371,0,2.953635126,0.751,0.06,0,11,ANKRD37
AC009502.11,0,4.318877064,0.708,0.017,0,11,AC009502.1
LCA51,0,3.638208079,0.727,0.036,0,11,LCA5
C11orf161,0,4.433485152,0.708,0.017,0,11,C11orf16
VWA3A,0,4.96424625,0.702,0.011,0,11,VWA3A
RGS221,0,4.126546628,0.708,0.019,0,11,RGS22
CEP831,0,3.24860745,0.743,0.054,0,11,CEP83
IQCD1,0,4.164404048,0.709,0.02,0,11,IQCD
CCP1101,0,2.923827618,0.759,0.071,0,11,CCP110
CYB5612,0,2.899334137,0.755,0.067,0,11,CYB561
TUBB4B1,0,3.719104783,0.998,0.312,0,11,TUBB4B
SQLE2,0,2.236790401,0.82,0.136,0,11,SQLE
LRTOMT1,0,3.899279482,0.711,0.027,0,11,LRTOMT
AC004832.11,0,4.547247025,0.7,0.016,0,11,AC004832.1
DYNC2LI11,0,3.301479386,0.729,0.046,0,11,DYNC2LI1
KCTD123,0,1.897126841,0.81,0.128,0,11,KCTD12
UBAC13,0,2.005482312,0.838,0.157,0,11,UBAC1
SCPEP13,0,2.266411086,0.899,0.219,0,11,SCPEP1
NUCB24,0,2.640844016,1,0.32,0,11,NUCB2
POU2AF12,0,3.227233304,0.733,0.053,0,11,POU2AF1
CTXN11,0,4.180292519,0.698,0.019,0,11,CTXN1
CFAP65,0,4.766809591,0.69,0.014,0,11,CFAP65
TMEM1071,0,2.546033051,0.763,0.088,0,11,TMEM107
SDC43,0,2.43193863,0.785,0.11,0,11,SDC4
PRSS12,0,4.227950526,0.696,0.024,0,11,PRSS12
CCDC187,0,4.944375526,0.682,0.011,0,11,CCDC187
DAW11,0,4.233434805,0.688,0.017,0,11,DAW1
FABP61,0,4.827291173,0.688,0.017,0,11,FABP6
PIH1D21,0,4.08175571,0.69,0.019,0,11,PIH1D2
ANK33,0,1.966206588,0.826,0.155,0,11,ANK3
CATSPERD1,0,4.327060231,0.69,0.019,0,11,CATSPERD
COPRS1,0,2.487416691,0.775,0.105,0,11,COPRS
ZNF273,0,3.661966991,0.713,0.043,0,11,ZNF273
PLEKHG71,0,3.640602798,0.708,0.038,0,11,PLEKHG7
EFHB1,0,4.147497302,0.69,0.021,0,11,EFHB
BCAS12,0,3.12415014,0.721,0.052,0,11,BCAS1
MAP1B,0,4.660915047,0.684,0.016,0,11,MAP1B
EFHC21,0,3.903041414,0.69,0.022,0,11,EFHC2
IQCA1,0,4.15075574,0.69,0.024,0,11,IQCA1
AZIN12,0,2.067540682,0.838,0.173,0,11,AZIN1
GPR162,0,4.821390328,0.68,0.015,0,11,GPR162
NUPR13,0,2.319728932,0.775,0.11,0,11,NUPR1
UBXN111,0,3.283315757,0.717,0.052,0,11,UBXN11
KIAA18411,0,3.334832986,0.709,0.044,0,11,KIAA1841
TTC291,0,4.250615898,0.68,0.016,0,11,TTC29
APPL21,0,2.8858983,0.739,0.075,0,11,APPL2
PGRMC13,0,2.094335304,0.836,0.173,0,11,PGRMC1
RFX21,0,3.796171193,0.696,0.033,0,11,RFX2
DNAI2,0,5.089223957,0.672,0.01,0,11,DNAI2
SHROOM31,0,3.61750836,0.7,0.038,0,11,SHROOM3
WDR491,0,3.980450229,0.688,0.027,0,11,WDR49
TMEM45B,0,3.790465268,0.69,0.029,0,11,TMEM45B
F11R2,0,2.497966255,0.771,0.111,0,11,F11R
CFAP100,0,4.84928439,0.67,0.011,0,11,CFAP100
SUN12,0,2.483684595,0.757,0.098,0,11,SUN1
DUOX1,0,3.298733787,0.709,0.053,0,11,DUOX1
TRIP131,0,3.976123955,0.678,0.023,0,11,TRIP13
EMP23,0,1.833880603,0.789,0.134,0,11,EMP2
KIAA1211L1,0,3.308180778,0.698,0.043,0,11,KIAA1211L
MYCBPAP,0,4.766919936,0.668,0.014,0,11,MYCBPAP
C20orf96,0,4.023320338,0.678,0.024,0,11,C20orf96
SELENBP12,0,2.2314263,0.755,0.102,0,11,SELENBP1
PFN21,0,2.847917911,0.713,0.06,0,11,PFN2
CTGF1,0,3.782656664,0.686,0.033,0,11,CTGF
PLPPR3,0,4.809712953,0.664,0.011,0,11,PLPPR3
CTNNAL11,0,2.932866549,0.711,0.058,0,11,CTNNAL1
MDH1B1,0,4.225010009,0.668,0.016,0,11,MDH1B
LRRC341,0,3.849600817,0.676,0.024,0,11,LRRC34
PIH1D31,0,3.996132384,0.67,0.019,0,11,PIH1D3
SPATA331,0,2.757086927,0.708,0.057,0,11,SPATA33
ALDH3A11,0,4.187281852,0.704,0.053,0,11,ALDH3A1
C2orf731,0,4.278298328,0.666,0.016,0,11,C2orf73
TUBA1A2,0,2.844369919,0.998,0.348,0,11,TUBA1A
FOXA13,0,2.189838386,0.747,0.098,0,11,FOXA1
10-Mar,0,4.672003325,0.662,0.013,0,11,10-Mar
SPEF1,0,4.6220749,0.66,0.013,0,11,SPEF1
FBXO15,0,4.508739296,0.66,0.014,0,11,FBXO15
TTC21A,0,4.261929573,0.664,0.019,0,11,TTC21A
STOX11,0,3.435228532,0.678,0.033,0,11,STOX1
IGF2BP22,0,2.8786945,0.715,0.071,0,11,IGF2BP2
CCDC801,0,3.629461134,0.682,0.039,0,11,CCDC80
FGF141,0,4.376653662,0.658,0.015,0,11,FGF14
C4orf47,0,4.420878489,0.656,0.014,0,11,C4orf47
JPT21,0,2.548665797,0.741,0.099,0,11,JPT2
IFT741,0,2.899722661,0.702,0.061,0,11,IFT74
CFAP361,0,2.209425683,0.745,0.106,0,11,CFAP36
PPP1R14C1,0,3.734644293,0.664,0.025,0,11,PPP1R14C
C11orf741,0,3.145938589,0.686,0.047,0,11,C11orf74
INTU1,0,3.283136702,0.678,0.04,0,11,INTU
PTRH1,0,3.131604303,0.694,0.057,0,11,PTRH1
DDR13,0,2.293604163,0.737,0.101,0,11,DDR1
TTLL9,0,5.335638781,0.644,0.008,0,11,TTLL9
AC244090.11,0,2.944475247,0.7,0.064,0,11,AC244090.1
RIIAD11,0,4.085308961,0.652,0.017,0,11,RIIAD1
ATP2C21,0,3.04868084,0.696,0.063,0,11,ATP2C2
CFAP47,0,4.294245253,0.644,0.013,0,11,CFAP47
STRBP3,0,1.976004555,0.771,0.14,0,11,STRBP
GNA11,0,3.101971309,0.68,0.05,0,11,GNA11
FAM13A1,0,2.840565942,0.692,0.063,0,11,FAM13A
GRIN3B,0,4.826652123,0.64,0.011,0,11,GRIN3B
GCLC2,0,2.36529251,0.739,0.111,0,11,GCLC
TEAD11,0,3.134901734,0.676,0.048,0,11,TEAD1
UACA3,0,2.630824258,0.708,0.082,0,11,UACA
CARS1,0,2.748803395,0.709,0.085,0,11,CARS
PTPRT,0,4.407017709,0.64,0.018,0,11,PTPRT
DUSP18,0,3.149097826,0.674,0.053,0,11,DUSP18
PRR152,0,1.914431293,0.733,0.113,0,11,PRR15
FAM166B,0,4.916113899,0.63,0.01,0,11,FAM166B
PPOX,0,3.559178745,0.65,0.031,0,11,PPOX
RIBC1,0,4.299304001,0.634,0.015,0,11,RIBC1
ZNF4871,0,3.349264049,0.652,0.033,0,11,ZNF487
CFAP74,0,4.615267795,0.632,0.014,0,11,CFAP74
TOGARAM11,0,2.589144088,0.702,0.084,0,11,TOGARAM1
MPDZ,0,4.379965333,0.634,0.019,0,11,MPDZ
GOLM12,0,2.360187943,0.702,0.087,0,11,GOLM1
DALRD3,0,2.653456294,0.688,0.074,0,11,DALRD3
TMEM212,0,5.143001246,0.621,0.008,0,11,TMEM212
UNC93B12,0,2.223908489,0.737,0.124,0,11,UNC93B1
LCA5L1,0,4.10779805,0.63,0.017,0,11,LCA5L
TRIM23,0,2.261103426,0.702,0.09,0,11,TRIM2
DGKH2,0,2.095019761,0.739,0.127,0,11,DGKH
LRRC4,0,4.078228039,0.632,0.021,0,11,LRRC4
PLXNB24,0,2.16516622,0.735,0.125,0,11,PLXNB2
LZTFL11,0,2.755940933,0.664,0.055,0,11,LZTFL1
LRIG13,0,2.23702977,0.711,0.102,0,11,LRIG1
WDR341,0,3.127630641,0.654,0.045,0,11,WDR34
FARP12,0,2.557230327,0.684,0.076,0,11,FARP1
BCO2,0,3.994159255,0.632,0.024,0,11,BCO2
DNAJB13,0,4.697955561,0.615,0.011,0,11,DNAJB13
KIF19,0,4.759308228,0.615,0.012,0,11,KIF19
CCDC961,0,3.818963304,0.626,0.024,0,11,CCDC96
ABI22,0,2.008256599,0.719,0.119,0,11,ABI2
CGN,0,3.566625496,0.63,0.031,0,11,CGN
METTL271,0,3.853973492,0.625,0.026,0,11,METTL27
SEMA3C1,0,2.49012091,0.674,0.076,0,11,SEMA3C
ARMC2,0,3.946117691,0.617,0.02,0,11,ARMC2
AC060780.1,0,2.834972274,0.654,0.057,0,11,AC060780.1
CASZ11,0,2.837975898,0.662,0.066,0,11,CASZ1
SGMS22,0,2.678937097,0.664,0.068,0,11,SGMS2
CFAP58,0,4.66109013,0.607,0.011,0,11,CFAP58
HAGHL1,0,2.764326381,0.648,0.053,0,11,HAGHL
RABL2A,0,3.774320995,0.621,0.027,0,11,RABL2A
PGM2L12,0,2.130547003,0.702,0.108,0,11,PGM2L1
CATIP,0,4.403160032,0.603,0.012,0,11,CATIP
SPATA6L,0,4.270271201,0.609,0.018,0,11,SPATA6L
KIF3B1,0,2.283935296,0.678,0.088,0,11,KIF3B
NSUN7,0,4.095424442,0.609,0.019,0,11,NSUN7
BAIAP2L11,0,3.385754593,0.63,0.04,0,11,BAIAP2L1
TP53BP1,0,2.308029537,0.672,0.084,0,11,TP53BP1
MFSD61,0,2.030428597,0.69,0.102,0,11,MFSD6
KIF27,0,3.716360172,0.617,0.031,0,11,KIF27
MSH31,0,2.140858193,0.688,0.103,0,11,MSH3
NEDD4L1,0,2.626372287,0.65,0.065,0,11,NEDD4L
C10orf67,0,4.538271364,0.595,0.011,0,11,C10orf67
CHST6,0,3.809567923,0.613,0.029,0,11,CHST6
C1orf158,0,4.594263275,0.595,0.012,0,11,C1orf158
HS3ST6,0,3.766498033,0.609,0.026,0,11,HS3ST6
CES4A,0,4.198996495,0.613,0.03,0,11,CES4A
SLFN13,0,3.166207333,0.621,0.038,0,11,SLFN13
TJP3,0,3.424852526,0.619,0.036,0,11,TJP3
LRRC71,0,4.735771835,0.593,0.011,0,11,LRRC71
LXN,0,2.804077381,0.642,0.061,0,11,LXN
ENOSF11,0,2.158477436,0.682,0.102,0,11,ENOSF1
CROCC,0,3.558039639,0.609,0.029,0,11,CROCC
B3GNT52,0,2.389201039,0.654,0.075,0,11,B3GNT5
PALMD,0,3.944056327,0.599,0.021,0,11,PALMD
AC113349.1,0,4.854472268,0.587,0.009,0,11,AC113349.1
IGF1R,0,2.696519292,0.64,0.064,0,11,IGF1R
KCNRG,0,4.227813848,0.591,0.015,0,11,KCNRG
FLNB2,0,2.200369214,0.672,0.097,0,11,FLNB
FYB21,0,2.689798534,0.628,0.053,0,11,FYB2
CCDC181,0,4.361843594,0.587,0.014,0,11,CCDC181
NME71,0,2.167757392,0.644,0.073,0,11,NME7
NEK1,0,2.633632394,0.63,0.059,0,11,NEK1
MYO62,0,1.880862392,0.674,0.106,0,11,MYO6
ADGRF12,0,2.431075108,0.626,0.059,0,11,ADGRF1
ANKRD26,0,2.436336664,0.644,0.078,0,11,ANKRD26
BEST4,0,5.313124155,0.575,0.009,0,11,BEST4
GAS8,0,3.669740821,0.589,0.024,0,11,GAS8
ITGA22,0,1.812087863,0.664,0.1,0,11,ITGA2
WFDC6,0,4.301224507,0.577,0.013,0,11,WFDC6
SORBS21,0,2.965464481,0.615,0.052,0,11,SORBS2
DNAAF3,0,4.518280979,0.575,0.012,0,11,DNAAF3
CELSR11,0,2.54891231,0.63,0.068,0,11,CELSR1
EPPIN1,0,3.626287525,0.581,0.02,0,11,EPPIN
WDR93,0,4.693692348,0.571,0.011,0,11,WDR93
CERS4,0,2.484804124,0.623,0.065,0,11,CERS4
SCIN1,0,2.956056657,0.603,0.045,0,11,SCIN
RAB36,0,4.546997914,0.569,0.011,0,11,RAB36
CASC2,0,4.378413797,0.567,0.012,0,11,CASC2
LINC015711,0,3.623577282,0.573,0.018,0,11,LINC01571
WDR131,0,2.184785196,0.644,0.09,0,11,WDR13
FUZ1,0,3.660801852,0.581,0.029,0,11,FUZ
SIX13,0,2.184200713,0.634,0.083,0,11,SIX1
SCAMP41,0,2.337221082,0.636,0.085,0,11,SCAMP4
IQCE,0,3.086191808,0.591,0.04,0,11,IQCE
HSPBP1,0,3.108136468,0.591,0.04,0,11,HSPBP1
MAP6,0,4.468634831,0.563,0.013,0,11,MAP6
LMLN,0,3.745629317,0.571,0.022,0,11,LMLN
NR2F22,0,1.884962,0.64,0.092,0,11,NR2F2
IFT122,0,3.543323061,0.577,0.029,0,11,IFT122
ERICH51,0,3.284275746,0.583,0.035,0,11,ERICH5
PKIG1,0,2.79325585,0.591,0.043,0,11,PKIG
VSTM2L,0,4.271412977,0.563,0.016,0,11,VSTM2L
ZNF6641,0,2.280011997,0.625,0.079,0,11,ZNF664
ACKR4,0,4.727808155,0.553,0.009,0,11,ACKR4
ENPP5,0,3.556601296,0.569,0.025,0,11,ENPP5
CRIP2,0,3.061213833,0.585,0.041,0,11,CRIP2
UCKL1-AS1,0,4.553781686,0.555,0.013,0,11,UCKL1-AS1
DMD,0,3.468292232,0.577,0.035,0,11,DMD
PPP1R16A,0,2.304785281,0.617,0.076,0,11,PPP1R16A
SAMD15,0,4.245375846,0.553,0.013,0,11,SAMD15
MAPRE3,0,3.835631703,0.559,0.02,0,11,MAPRE3
ICA1L,0,3.349576474,0.571,0.032,0,11,ICA1L
PCDH72,0,2.448132144,0.603,0.065,0,11,PCDH7
ARMH4,0,4.114894018,0.551,0.014,0,11,ARMH4
KCNE1,0,4.345086514,0.551,0.014,0,11,KCNE1
PSCA2,0,2.196733046,0.601,0.064,0,11,PSCA
RPGRIP1L,0,3.556194129,0.561,0.025,0,11,RPGRIP1L
ANKMY1,0,3.27133528,0.569,0.033,0,11,ANKMY1
HSD17B131,0,3.88880772,0.565,0.029,0,11,HSD17B13
CMTM41,0,2.557286105,0.591,0.055,0,11,CMTM4
FXYD1,0,4.453067823,0.555,0.02,0,11,FXYD1
ENPP4,0,2.390480576,0.599,0.064,0,11,ENPP4
MYH141,0,2.644097653,0.595,0.06,0,11,MYH14
SMYD2,0,2.529975275,0.593,0.059,0,11,SMYD2
RIBC2,0,3.895144504,0.549,0.016,0,11,RIBC2
AL353622.1,0,3.368278118,0.565,0.032,0,11,AL353622.1
PARVA2,0,2.462453883,0.601,0.068,0,11,PARVA
AGBL2,0,4.577212477,0.542,0.011,0,11,AGBL2
CENPM,0,3.177651718,0.561,0.03,0,11,CENPM
ALMS1,0,2.641253161,0.585,0.054,0,11,ALMS1
MRNIP,0,2.121149778,0.599,0.069,0,11,MRNIP
FAM104B1,0,2.135338879,0.607,0.079,0,11,FAM104B
KIAA0556,0,3.309260949,0.559,0.032,0,11,KIAA0556
FAIM1,0,2.164416041,0.591,0.065,0,11,FAIM
TXLNB,0,3.966693872,0.542,0.016,0,11,TXLNB
SLC2A101,0,2.764295924,0.575,0.05,0,11,SLC2A10
WDR19,0,3.737075054,0.545,0.021,0,11,WDR19
FAM184A,0,3.442636879,0.547,0.023,0,11,FAM184A
LRWD1,0,3.290464069,0.555,0.031,0,11,LRWD1
LRRC74B,0,4.980515114,0.532,0.008,0,11,LRRC74B
CCDC81,0,4.316045172,0.536,0.013,0,11,CCDC81
FBXO36,0,3.831250604,0.54,0.018,0,11,FBXO36
PHTF1,0,2.433121171,0.579,0.058,0,11,PHTF1
ITGB81,0,2.267102175,0.581,0.06,0,11,ITGB8
C10orf95,0,3.800550847,0.538,0.018,0,11,C10orf95
PLCH1,0,4.263814142,0.53,0.011,0,11,PLCH1
EFEMP11,0,2.515028322,0.575,0.056,0,11,EFEMP1
FAM161A,0,2.996834019,0.553,0.035,0,11,FAM161A
SLC34A2,0,3.242307229,0.555,0.037,0,11,SLC34A2
CTTN2,0,1.981679347,0.603,0.086,0,11,CTTN
RALGPS21,0,1.727324879,0.589,0.074,0,11,RALGPS2
ANKRD42,0,3.03031347,0.551,0.037,0,11,ANKRD42
MORN3,0,3.728760809,0.534,0.02,0,11,MORN3
TTLL7,0,3.133174274,0.543,0.03,0,11,TTLL7
LAMC2,0,4.206342298,0.53,0.017,0,11,LAMC2
ACBD3-AS1,0,3.749047641,0.528,0.015,0,11,ACBD3-AS1
TTC26,0,3.943235126,0.53,0.017,0,11,TTC26
CFAP77,0,3.798524418,0.526,0.014,0,11,CFAP77
DIXDC1,0,3.602274,0.536,0.024,0,11,DIXDC1
CAP2,0,4.070180567,0.526,0.015,0,11,CAP2
PTPRN21,0,2.431923869,0.569,0.059,0,11,PTPRN2
FSD1L,0,3.255520337,0.536,0.026,0,11,FSD1L
BICDL21,0,2.506363357,0.569,0.06,0,11,BICDL2
COL28A1,0,4.874052011,0.516,0.008,0,11,COL28A1
DUSP14,0,2.619888605,0.555,0.047,0,11,DUSP14
PRDX52,0,2.984463835,1,0.494,0,11,PRDX5
LINC02345,0,4.000030791,0.518,0.013,0,11,LINC02345
P4HA2,0,3.568978546,0.53,0.026,0,11,P4HA2
HRASLS2,0,3.697993571,0.522,0.018,0,11,HRASLS2
SMPD2,0,3.118212646,0.54,0.037,0,11,SMPD2
PTGR12,0,2.086555062,0.585,0.082,0,11,PTGR1
MGLL,0,2.072771452,0.573,0.07,0,11,MGLL
MED25,0,2.718397195,0.557,0.055,0,11,MED25
DENND6B,0,3.041915281,0.542,0.04,0,11,DENND6B
IFT80,0,2.578993278,0.553,0.052,0,11,IFT80
CD38,0,2.489936531,0.555,0.054,0,11,CD38
CDH12,0,2.083939973,0.583,0.082,0,11,CDH1
C17orf97,0,3.68993059,0.52,0.019,0,11,C17orf97
NRP22,0,2.356538303,0.561,0.061,0,11,NRP2
IL5RA,0,4.240499953,0.512,0.012,0,11,IL5RA
TNFRSF19,0,4.008742178,0.516,0.016,0,11,TNFRSF19
CCDC1251,0,2.395626869,0.567,0.067,0,11,CCDC125
WLS,0,3.047129773,0.536,0.038,0,11,WLS
TACC21,0,2.640766481,0.553,0.055,0,11,TACC2
TTC16,0,3.900701965,0.514,0.016,0,11,TTC16
SLC22A23,0,3.429010264,0.526,0.029,0,11,SLC22A23
TEX261,0,3.389833868,0.518,0.021,0,11,TEX26
SPPL2B,0,2.489869989,0.557,0.061,0,11,SPPL2B
CCDC1891,0,4.007556251,0.516,0.02,0,11,CCDC189
DZANK1,0,3.93751979,0.512,0.016,0,11,DZANK1
CFAP20,0,2.045459027,0.573,0.077,0,11,CFAP20
C6orf132,0,2.620558257,0.538,0.043,0,11,C6orf132
ALS2CR12,0,4.141715187,0.504,0.012,0,11,ALS2CR12
ZDHHC1,0,3.975636807,0.508,0.016,0,11,ZDHHC1
ARSD1,0,2.350220483,0.569,0.077,0,11,ARSD
TTC21B,0,2.450350153,0.551,0.06,0,11,TTC21B
TMEM981,0,2.242468148,0.557,0.066,0,11,TMEM98
UNC119B,0,3.000337558,0.528,0.038,0,11,UNC119B
ACYP11,0,1.923322643,0.563,0.073,0,11,ACYP1
FMN1,0,2.950845364,0.53,0.041,0,11,FMN1
AKAP6,0,3.839048966,0.506,0.017,0,11,AKAP6
KANSL1L,0,2.773567142,0.53,0.042,0,11,KANSL1L
ARHGEF281,0,2.360765507,0.551,0.063,0,11,ARHGEF28
STX2,0,2.599240463,0.532,0.044,0,11,STX2
MORN1,0,4.0481917,0.504,0.017,0,11,MORN1
SLC25A29,0,2.400680775,0.553,0.068,0,11,SLC25A29
ARHGAP39,0,4.353636483,0.496,0.011,0,11,ARHGAP39
ST5,0,2.777375496,0.528,0.044,0,11,ST5
KIF6,0,4.353051867,0.494,0.01,0,11,KIF6
TSNAXIP1,0,4.634986963,0.492,0.008,0,11,TSNAXIP1
CYB5D1,0,3.504975175,0.508,0.024,0,11,CYB5D1
C11orf49,0,2.729196593,0.524,0.041,0,11,C11orf49
NEBL1,0,2.618186077,0.532,0.049,0,11,NEBL
MYO1E,0,2.568008958,0.538,0.056,0,11,MYO1E
VNN3,0,4.111948674,0.494,0.013,0,11,VNN3
CEP97,0,2.611317664,0.524,0.044,0,11,CEP97
ATP9A,0,3.239668923,0.51,0.03,0,11,ATP9A
LRRC49,0,3.605906674,0.498,0.019,0,11,LRRC49
ARHGAP321,0,2.275744017,0.543,0.065,0,11,ARHGAP32
FTO,0,2.630710058,0.536,0.059,0,11,FTO
CCDC74B,0,4.194467395,0.488,0.011,0,11,CCDC74B
CCDC34,0,2.87558251,0.512,0.036,0,11,CCDC34
BBS4,0,2.49762217,0.526,0.05,0,11,BBS4
FOCAD,0,2.745057058,0.516,0.042,0,11,FOCAD
REC8,0,2.739473316,0.518,0.045,0,11,REC8
B9D2,0,2.644371138,0.516,0.043,0,11,B9D2
TMEM68,0,2.054028736,0.543,0.071,0,11,TMEM68
MYO5C1,0,2.155360193,0.54,0.069,0,11,MYO5C
IFT140,0,3.969701824,0.486,0.015,0,11,IFT140
RSPH14,0,4.814860036,0.478,0.007,0,11,RSPH14
LINC01765,0,4.07647025,0.48,0.011,0,11,LINC01765
ULK4,0,2.771483075,0.504,0.036,0,11,ULK4
TMEM254,0,2.658766328,0.51,0.042,0,11,TMEM254
GIPR,0,4.06600473,0.486,0.018,0,11,GIPR
GLIS3,0,2.523198701,0.516,0.05,0,11,GLIS3
ANKRD45,0,3.935872066,0.478,0.012,0,11,ANKRD45
OXTR1,0,4.176341251,0.48,0.014,0,11,OXTR
AC008771.1,0,3.267786511,0.49,0.026,0,11,AC008771.1
SLC16A5,0,3.495984825,0.492,0.028,0,11,SLC16A5
NHLRC4,0,4.57904013,0.472,0.009,0,11,NHLRC4
ALDH1L11,0,2.906002041,0.5,0.038,0,11,ALDH1L1
IQANK1,0,3.941173895,0.48,0.018,0,11,IQANK1
FAM221A,0,2.790353935,0.502,0.043,0,11,FAM221A
MTURN1,0,2.003387343,0.522,0.063,0,11,MTURN
CERKL,0,3.693192973,0.474,0.015,0,11,CERKL
FZD6,0,2.330841464,0.508,0.05,0,11,FZD6
PLEKHB1,0,3.465573135,0.48,0.022,0,11,PLEKHB1
GFM2,0,2.494300407,0.508,0.051,0,11,GFM2
